Interval,Processor0,Processor1,Processor2,Processor3,Processor4,Processor5,Processor6,Processor7,Processor8,Processor9,Processor10,Processor11,Processor12,Processor13,Processor14,Processor15,Processor16,Processor17,Processor18,Processor19,Processor20,Processor21,Processor22,Processor23,Processor24,Processor25,Processor26,Processor27,Processor28,Processor29,Processor30,Processor31,Processor32,Processor33,Processor34,Processor35,Processor36,Processor37,Processor38,Processor39,Processor40,Processor41,Processor42,Processor43,Processor44,Processor45,Processor46,Processor47,Processor48,Processor49,Processor50,Processor51,Processor52,Processor53,Processor54,Processor55,Processor56,Processor57,Processor58,Processor59,Processor60,Processor61,Processor62,Processor63,Processor64,Processor65,Processor66,Processor67,Processor68,Processor69,Processor70,Processor71,Processor72,Processor73,Processor74,Processor75,Processor76,Processor77,Processor78,Processor79,Processor80,Processor81,Processor82,Processor83,Processor84,Processor85,Processor86,Processor87,Processor88,Processor89,Processor90,Processor91,Processor92,Processor93,Processor94,Processor95,Processor96,Processor97,Processor98,Processor99,Processor100,Processor101,Processor102,Processor103,Processor104,Processor105,Processor106,Processor107,Processor108,Processor109,Processor110,Processor111,Processor112,Processor113,Processor114,Processor115,Processor116,Processor117,Processor118,Processor119,Processor120,Processor121,Processor122,Processor123,Processor124,Processor125,Processor126,Processor127,Processor128,Processor129,Processor130,Processor131,Processor132,Processor133,Processor134,Processor135,Processor136,Processor137,Processor138,Processor139,Processor140,Processor141,Processor142,Processor143,Max,Mean,SD,CV
0,284407.0,328872.0,313251.0,288743.0,322548.0,395602.0,337297.0,349545.0,291587.0,281660.0,383639.0,291189.0,289837.0,327909.0,286450.0,321758.0,279112.0,337910.0,403560.0,292999.0,372310.0,401607.0,288867.0,278921.0,385040.0,313283.0,308256.0,468099.0,357372.0,333141.0,396937.0,377745.0,284569.0,329216.0,465083.0,365361.0,288457.0,290183.0,449527.0,377374.0,313264.0,408861.0,451867.0,381848.0,291135.0,446967.0,373818.0,350165.0,290730.0,448900.0,324823.0,334603.0,294933.0,376247.0,304425.0,321928.0,307496.0,314849.0,291920.0,294966.0,290349.0,290308.0,291486.0,298069.0,317020.0,322310.0,290091.0,289133.0,394764.0,348969.0,292568.0,286731.0,335160.0,342912.0,318758.0,326344.0,296753.0,303360.0,312743.0,297297.0,291783.0,283297.0,296279.0,312701.0,290444.0,321606.0,290947.0,315625.0,301412.0,289983.0,295677.0,299730.0,291811.0,286717.0,286729.0,325061.0,280528.0,294832.0,282528.0,311498.0,293296.0,291880.0,289058.0,368012.0,321364.0,341345.0,378852.0,440860.0,384581.0,453602.0,476844.0,308696.0,445912.0,390154.0,288350.0,289602.0,304658.0,295170.0,276271.0,280234.0,329444.0,317285.0,357641.0,425018.0,406811.0,354513.0,378385.0,443457.0,371125.0,324836.0,396857.0,273374.0,282236.0,384781.0,389737.0,288522.0,291798.0,392345.0,399721.0,345643.0,309033.0,344318.0,306147.0,312163.0,476844.0,333341.75,50930.490801120846,0.15278761451609602
1,231919.0,236220.0,220234.0,225234.0,279849.0,285344.0,256214.0,311391.0,227254.0,224779.0,312129.0,226818.0,222863.0,242014.0,230023.0,267651.0,223755.0,280388.0,374001.0,242180.0,265165.0,360103.0,219482.0,253975.0,378482.0,219858.0,348171.0,382245.0,271906.0,258399.0,432931.0,317717.0,221503.0,228437.0,446846.0,328335.0,226807.0,290372.0,438567.0,344960.0,258180.0,408785.0,386071.0,345640.0,226125.0,444814.0,337249.0,306500.0,257710.0,413316.0,292510.0,291308.0,254288.0,323618.0,250269.0,248317.0,244685.0,222602.0,285633.0,234450.0,228679.0,268529.0,376500.0,271065.0,268958.0,270568.0,250944.0,312035.0,339105.0,339542.0,232057.0,328188.0,282867.0,301028.0,276112.0,242648.0,226268.0,226891.0,253250.0,223629.0,352922.0,270065.0,227008.0,229842.0,371442.0,324915.0,230523.0,227337.0,324397.0,243790.0,230444.0,234110.0,294454.0,221237.0,220938.0,278142.0,260782.0,233187.0,243323.0,264880.0,267356.0,230683.0,259863.0,374746.0,289481.0,329862.0,440378.0,436893.0,392166.0,449921.0,378502.0,230569.0,450707.0,282542.0,220679.0,222253.0,235545.0,230097.0,219056.0,232528.0,300965.0,230544.0,276704.0,344900.0,432762.0,286834.0,330058.0,445070.0,292400.0,371563.0,393369.0,234034.0,230538.0,392344.0,391840.0,232002.0,236009.0,388587.0,397319.0,264616.0,238509.0,247283.0,241552.0,241923.0,450707.0,290310.72222222225,67288.39566997794,0.23178060787734575
2,234249.0,232556.0,220276.0,215161.0,254524.0,250878.0,262409.0,316228.0,231152.0,219864.0,290175.0,219010.0,229650.0,246223.0,228406.0,269064.0,225786.0,259502.0,355284.0,239402.0,265958.0,344213.0,216591.0,250307.0,371543.0,212693.0,409220.0,325893.0,265016.0,243155.0,448179.0,283396.0,222518.0,247431.0,444567.0,305156.0,220082.0,361811.0,406482.0,330605.0,254885.0,439838.0,355623.0,337240.0,249015.0,453873.0,320114.0,303457.0,299243.0,371568.0,273658.0,286455.0,273788.0,309853.0,237631.0,231085.0,245357.0,216940.0,346996.0,246024.0,215442.0,263481.0,394829.0,265554.0,241438.0,280685.0,250759.0,313199.0,287020.0,368333.0,233638.0,305116.0,274913.0,283175.0,265313.0,221177.0,215568.0,214385.0,238999.0,224934.0,338458.0,269482.0,216555.0,220412.0,361452.0,316849.0,219029.0,220039.0,318257.0,249523.0,222357.0,228840.0,274053.0,214282.0,217385.0,270425.0,258831.0,217145.0,238081.0,278480.0,231166.0,243078.0,285970.0,416221.0,304771.0,365898.0,462252.0,366519.0,434401.0,432008.0,290056.0,220040.0,395470.0,248808.0,209067.0,226534.0,219893.0,221056.0,227364.0,257142.0,305182.0,223903.0,267790.0,306253.0,444156.0,298511.0,312752.0,462965.0,249063.0,390339.0,406138.0,220038.0,220280.0,390592.0,404521.0,226632.0,228849.0,396444.0,394277.0,245097.0,228777.0,242785.0,228001.0,233549.0,462965.0,285553.88194444444,69104.89355154804,0.24200299110271822
3,233999.0,229359.0,210503.0,211545.0,258222.0,255396.0,244757.0,270077.0,258202.0,215665.0,280065.0,215108.0,227292.0,257388.0,224116.0,266328.0,221010.0,263228.0,352274.0,227169.0,280881.0,350654.0,210980.0,252809.0,366469.0,212371.0,433930.0,289999.0,260411.0,221522.0,445235.0,264092.0,208711.0,317259.0,400581.0,300663.0,214862.0,415150.0,374881.0,322618.0,259363.0,467241.0,343220.0,330918.0,309512.0,412556.0,307793.0,305672.0,342861.0,333804.0,269556.0,279418.0,298232.0,295247.0,229313.0,221359.0,254491.0,211836.0,343069.0,255921.0,228421.0,288875.0,376099.0,265629.0,213009.0,293361.0,255153.0,310489.0,242325.0,396583.0,234906.0,281243.0,260477.0,272867.0,252108.0,212643.0,230234.0,212035.0,228840.0,210864.0,342297.0,256184.0,210019.0,215486.0,376897.0,307054.0,225516.0,213898.0,301746.0,258379.0,218929.0,226977.0,282203.0,216517.0,210449.0,268372.0,255358.0,210881.0,213819.0,306110.0,236943.0,262892.0,327649.0,440375.0,315003.0,420914.0,457868.0,287627.0,454277.0,356002.0,245247.0,209849.0,317263.0,231906.0,212646.0,229062.0,209558.0,218368.0,213264.0,263216.0,321258.0,221491.0,256578.0,295480.0,437779.0,306420.0,289734.0,442685.0,223311.0,388598.0,396543.0,281791.0,213978.0,401956.0,414637.0,222706.0,230858.0,393745.0,383233.0,241028.0,220422.0,243974.0,226055.0,228926.0,467241.0,282732.84722222225,69163.44570435224,0.24462472749051045
4,214454.0,230370.0,207118.0,209448.0,251760.0,275149.0,260740.0,292001.0,243629.0,216754.0,291924.0,215050.0,216154.0,251549.0,223205.0,268706.0,220043.0,282284.0,342007.0,222990.0,294627.0,341402.0,204900.0,246749.0,352098.0,213988.0,452373.0,260888.0,288629.0,297004.0,401562.0,247130.0,206060.0,384052.0,359449.0,294614.0,213043.0,449996.0,359137.0,316809.0,297797.0,445436.0,331464.0,325059.0,378742.0,362815.0,306735.0,295393.0,375951.0,311230.0,257581.0,271466.0,322480.0,281557.0,219274.0,216132.0,262005.0,213271.0,340766.0,262129.0,235343.0,337269.0,396592.0,270851.0,209479.0,298868.0,233235.0,307215.0,213008.0,411388.0,239669.0,267569.0,242423.0,253369.0,239340.0,215382.0,241381.0,241111.0,219216.0,214053.0,330111.0,276236.0,206718.0,214332.0,353208.0,336402.0,207417.0,216176.0,310625.0,258211.0,218185.0,224772.0,292504.0,207444.0,212024.0,276748.0,243141.0,216295.0,216496.0,350206.0,212404.0,299216.0,404286.0,439078.0,350079.0,443267.0,408452.0,238345.0,457383.0,284406.0,226548.0,206805.0,269082.0,223339.0,210202.0,239591.0,205006.0,215529.0,206019.0,256654.0,356150.0,230972.0,247261.0,281459.0,403093.0,321599.0,265073.0,388490.0,216763.0,388066.0,358265.0,351161.0,211297.0,394103.0,398724.0,221840.0,227676.0,398354.0,384336.0,225232.0,207852.0,218546.0,210797.0,230091.0,457383.0,281833.5486111111,69545.27931547246,0.24676011659433322
5,211203.0,224592.0,206484.0,207662.0,283599.0,256018.0,228268.0,333988.0,219500.0,212947.0,290977.0,213628.0,214106.0,224080.0,222890.0,262192.0,211775.0,285779.0,338125.0,214895.0,339183.0,337509.0,204841.0,250355.0,364086.0,258376.0,434201.0,240996.0,305990.0,382916.0,343390.0,232505.0,203293.0,429638.0,330099.0,279990.0,236296.0,457900.0,346889.0,311786.0,384913.0,410421.0,325797.0,324607.0,425099.0,331690.0,299344.0,284151.0,414917.0,289123.0,247194.0,267798.0,351807.0,267327.0,213910.0,210974.0,278508.0,211136.0,355745.0,293786.0,230366.0,361970.0,378785.0,261807.0,242863.0,293008.0,221911.0,344214.0,206575.0,403270.0,253520.0,243910.0,230055.0,241204.0,225022.0,257613.0,248286.0,241721.0,213451.0,248140.0,341178.0,273482.0,208702.0,210287.0,371912.0,343993.0,209076.0,214494.0,314784.0,227763.0,216654.0,229118.0,275177.0,210648.0,214076.0,294908.0,215360.0,239674.0,255742.0,403753.0,230761.0,346673.0,450504.0,398820.0,398482.0,434975.0,327024.0,217644.0,430652.0,233173.0,218746.0,202225.0,239543.0,217671.0,221993.0,227523.0,206002.0,214045.0,215428.0,266522.0,402578.0,244885.0,244785.0,268968.0,362352.0,331053.0,244806.0,347474.0,210384.0,381305.0,306290.0,405157.0,208423.0,393819.0,403381.0,223209.0,223906.0,379146.0,380983.0,217151.0,209292.0,218451.0,208981.0,219570.0,457900.0,282600.1458333333,71578.74107611304,0.2532862849912591
6,208093.0,229164.0,207559.0,208394.0,270856.0,259609.0,242202.0,323296.0,238624.0,213317.0,265054.0,214279.0,209234.0,242398.0,223205.0,267814.0,211894.0,265311.0,377801.0,223388.0,327149.0,339444.0,206169.0,221435.0,386228.0,339188.0,386264.0,233249.0,315977.0,436209.0,308148.0,221775.0,210893.0,458234.0,308015.0,271606.0,310577.0,444318.0,337607.0,306469.0,443083.0,381471.0,325526.0,312067.0,456374.0,314772.0,301384.0,283093.0,440765.0,281160.0,242471.0,259445.0,382212.0,258555.0,213157.0,206110.0,294186.0,210736.0,385559.0,283605.0,238558.0,396454.0,395461.0,254833.0,282566.0,295257.0,206624.0,335022.0,222439.0,389068.0,278100.0,215438.0,219733.0,227229.0,218312.0,259729.0,272204.0,252728.0,213986.0,253055.0,338206.0,277234.0,204053.0,209812.0,383285.0,342962.0,209694.0,215684.0,302721.0,235475.0,220488.0,244101.0,259813.0,215186.0,225224.0,326886.0,211236.0,274780.0,319510.0,454688.0,282442.0,406395.0,466742.0,315841.0,450200.0,388016.0,279955.0,213150.0,391311.0,214513.0,215743.0,211119.0,231437.0,214418.0,228607.0,246605.0,212215.0,213027.0,218303.0,256386.0,450630.0,273915.0,244343.0,262750.0,301142.0,325363.0,235403.0,312634.0,205099.0,397815.0,269271.0,440165.0,206816.0,402991.0,408134.0,235053.0,234285.0,402848.0,390843.0,232733.0,206571.0,223843.0,205204.0,224816.0,466742.0,286063.21527777775,75272.96996913626,0.26313404153009845
7,209787.0,227948.0,212392.0,209889.0,275421.0,252155.0,244084.0,301782.0,255125.0,212276.0,281454.0,211545.0,212994.0,239871.0,224154.0,264563.0,216090.0,296930.0,368926.0,232641.0,332084.0,358963.0,209931.0,252257.0,380581.0,412533.0,329513.0,222525.0,259807.0,470552.0,277291.0,212525.0,260970.0,445479.0,292373.0,258654.0,394849.0,399834.0,331049.0,294270.0,464255.0,353185.0,319903.0,300821.0,464527.0,302591.0,296826.0,271578.0,446119.0,270387.0,240415.0,254443.0,400656.0,248968.0,209317.0,219934.0,317968.0,209560.0,387907.0,290891.0,218843.0,406371.0,410502.0,259748.0,348291.0,289914.0,210059.0,317475.0,228965.0,364121.0,304861.0,210286.0,214366.0,218133.0,214190.0,275965.0,271007.0,262516.0,211496.0,245445.0,346053.0,262455.0,213522.0,209343.0,383665.0,339240.0,215246.0,224755.0,280932.0,228213.0,226977.0,265519.0,240931.0,227899.0,250744.0,375742.0,235227.0,316035.0,397290.0,471846.0,337350.0,450053.0,430785.0,256890.0,466016.0,311867.0,260519.0,209320.0,336094.0,211809.0,211889.0,217504.0,223752.0,213460.0,243592.0,238109.0,216829.0,212390.0,223146.0,275258.0,463024.0,309950.0,241634.0,263412.0,259164.0,317563.0,230217.0,285675.0,208171.0,418887.0,239706.0,435905.0,205364.0,408068.0,411956.0,277199.0,243956.0,412764.0,393579.0,233305.0,210023.0,237329.0,210792.0,227210.0,471846.0,288208.2708333333,76637.94952370191,0.26591169400554965
8,218033.0,233159.0,215789.0,216705.0,298802.0,268483.0,242860.0,337862.0,240417.0,213369.0,298260.0,213107.0,221749.0,250559.0,227502.0,268237.0,221411.0,298148.0,359345.0,218642.0,339767.0,361824.0,216168.0,387207.0,365748.0,454150.0,296800.0,213293.0,239710.0,450929.0,254147.0,212211.0,355974.0,399323.0,283065.0,244686.0,450058.0,367561.0,328043.0,284838.0,480182.0,337604.0,316593.0,295213.0,422358.0,295798.0,292004.0,265408.0,407771.0,265266.0,238289.0,246795.0,418212.0,241006.0,217744.0,239081.0,342347.0,209330.0,390642.0,303587.0,207340.0,396225.0,399480.0,263002.0,349941.0,276385.0,213148.0,306766.0,240123.0,339214.0,343865.0,221126.0,212275.0,212332.0,210474.0,316793.0,278636.0,261934.0,210412.0,256833.0,355228.0,295645.0,230254.0,211050.0,374668.0,340613.0,221406.0,241810.0,295510.0,218483.0,240509.0,306343.0,218466.0,250468.0,296660.0,431075.0,278394.0,364408.0,452911.0,436488.0,404301.0,450782.0,335869.0,235181.0,451149.0,253042.0,251509.0,214710.0,301331.0,214643.0,209931.0,223983.0,224197.0,212728.0,250052.0,252151.0,225891.0,212956.0,220424.0,290492.0,448293.0,349532.0,246047.0,259504.0,247569.0,298312.0,232109.0,266874.0,212590.0,400766.0,236569.0,416120.0,212939.0,401522.0,425704.0,333223.0,236527.0,396310.0,395967.0,230415.0,217001.0,224109.0,219555.0,228951.0,480182.0,291261.7638888889,75369.91750581356,0.25877038063453406
9,247761.0,265651.0,248517.0,241212.0,349454.0,344336.0,322535.0,363506.0,325265.0,233758.0,351579.0,235463.0,249421.0,317107.0,242973.0,285293.0,247361.0,356592.0,402265.0,324815.0,362976.0,395765.0,235866.0,479419.0,236338.0,477890.0,289041.0,240789.0,355757.0,407188.0,250402.0,228477.0,463673.0,366759.0,279283.0,248239.0,481682.0,357672.0,328012.0,280184.0,460725.0,348541.0,323216.0,296726.0,386134.0,307573.0,298727.0,285546.0,377695.0,279488.0,257062.0,285647.0,430396.0,266060.0,245849.0,248277.0,378214.0,248086.0,261200.0,246383.0,239684.0,349051.0,289841.0,247198.0,396833.0,276641.0,245859.0,260312.0,320483.0,309827.0,390393.0,265564.0,243570.0,241708.0,243245.0,253154.0,247709.0,278183.0,240925.0,242679.0,249304.0,347237.0,254664.0,246492.0,253355.0,313182.0,249662.0,270722.0,251085.0,240516.0,263852.0,366708.0,242779.0,284354.0,361637.0,485936.0,331668.0,432040.0,481344.0,362129.0,469688.0,399030.0,282073.0,243067.0,406645.0,246441.0,255613.0,250748.0,290490.0,242482.0,238637.0,303391.0,241162.0,229345.0,317478.0,331362.0,299725.0,235520.0,291498.0,343048.0,413455.0,394898.0,302143.0,288794.0,252356.0,281674.0,269683.0,286983.0,248089.0,426631.0,266029.0,394638.0,245526.0,422338.0,424528.0,391959.0,266086.0,426044.0,424343.0,230366.0,239902.0,294782.0,244692.0,275708.0,485936.0,308697.47222222225,70331.87210043542,0.22783429872015787
