Interval,Processor0,Processor1,Processor2,Processor3,Processor4,Processor5,Processor6,Processor7,Processor8,Processor9,Processor10,Processor11,Processor12,Processor13,Processor14,Processor15,Processor16,Processor17,Processor18,Processor19,Processor20,Processor21,Processor22,Processor23,Processor24,Processor25,Processor26,Processor27,Processor28,Processor29,Processor30,Processor31,Processor32,Processor33,Processor34,Processor35,Total,Max
0,78,162,72,144,90,48,122,16,162,40,196,174,78,66,48,90,40,66,4,40,16,102,122,72,40,6,122,144,98,4,122,6,102,98,196,174,3160,196
1,82,180,82,120,78,36,102,70,160,34,204,180,82,42,26,82,34,150,2,38,2,160,136,36,38,60,136,150,78,26,120,42,102,60,204,70,3204,204
2,84,184,70,106,118,8,138,112,138,64,204,184,96,36,26,70,30,144,26,30,36,154,112,48,8,84,154,144,48,48,118,48,106,64,204,96,3340,204
3,108,128,54,112,116,12,108,152,128,86,204,184,108,30,6,54,6,160,24,12,58,152,124,58,40,112,160,124,24,40,116,30,108,184,204,86,3412,204
4,98,180,60,130,110,4,124,190,120,128,194,180,124,18,12,34,30,128,34,4,30,194,150,80,60,130,150,98,12,80,114,18,110,114,190,120,3552,194
5,114,178,78,142,134,16,86,204,108,162,184,178,134,10,2,24,48,152,24,10,48,162,184,86,82,142,152,78,16,108,114,2,110,110,204,82,3668,204
6,114,174,102,150,134,22,16,192,90,198,184,174,152,2,2,20,56,152,60,22,56,192,184,102,114,150,134,60,16,110,110,20,108,108,198,90,3768,198
7,104,166,116,154,150,30,52,180,62,208,190,166,154,2,22,62,62,146,118,62,52,180,44,116,146,150,118,44,30,190,104,22,104,104,208,2,3820,208
8,188,100,158,156,146,60,96,150,40,208,188,158,156,40,32,98,64,60,150,46,94,174,8,132,174,146,98,46,64,96,94,32,100,132,208,8,3900,208
9,144,132,126,178,142,102,142,132,20,206,180,140,154,26,10,180,54,16,140,62,54,78,20,144,178,126,62,10,114,154,78,26,114,102,206,16,3768,206
10,140,182,76,156,174,156,200,120,28,174,182,132,140,44,56,132,56,10,178,66,88,42,76,170,178,106,28,10,120,170,66,44,88,106,200,42,3936,200
11,130,176,16,190,62,190,220,100,38,170,176,116,130,48,116,74,48,16,184,70,100,32,100,184,164,70,4,4,100,164,38,32,74,170,220,62,3788,220
