Interval,Processor0,Processor1,Processor2,Processor3,Processor4,Processor5,Processor6,Processor7,Processor8,Processor9,Processor10,Processor11,Processor12,Processor13,Processor14,Processor15,Processor16,Processor17,Processor18,Processor19,Processor20,Processor21,Processor22,Processor23,Processor24,Processor25,Processor26,Processor27,Processor28,Processor29,Processor30,Processor31,Processor32,Processor33,Processor34,Processor35,Max,Mean,SD,CV
0,84666.0,109171.0,80399.0,98347.0,87654.0,84438.0,89882.0,90581.0,124560.0,87014.0,121567.0,106919.0,92383.0,90947.0,88800.0,96407.0,85565.0,85633.0,91579.0,88241.0,91543.0,92967.0,92511.0,87136.0,83118.0,91249.0,103801.0,114962.0,100462.0,91688.0,101602.0,91083.0,101708.0,91696.0,109546.0,87795.0,124560.0,94933.88888888889,10489.175324478769,0.11048926202481132
1,79613.0,82104.0,79650.0,84982.0,80460.0,72337.0,87600.0,86326.0,107910.0,76728.0,117671.0,100270.0,87492.0,76998.0,74394.0,87279.0,74773.0,90868.0,70327.0,76480.0,70375.0,93504.0,89560.0,75561.0,73294.0,79494.0,101933.0,104239.0,87622.0,71799.0,97974.0,74695.0,95732.0,74914.0,105521.0,81846.0,117671.0,85342.36111111111,11883.600175014251,0.13924620809989602
2,78549.0,79167.0,74372.0,83820.0,83436.0,69143.0,86924.0,97323.0,98145.0,80595.0,114271.0,96664.0,88605.0,71994.0,69975.0,80070.0,69383.0,86144.0,68219.0,71283.0,68820.0,87075.0,88074.0,71284.0,69823.0,86060.0,99779.0,98026.0,78332.0,73863.0,93815.0,68674.0,94429.0,76629.0,102458.0,81606.0,114271.0,82967.47222222222,11611.976409643505,0.1399581799785546
3,83358.0,78789.0,69786.0,83157.0,83191.0,68470.0,84627.0,105483.0,89764.0,90864.0,109492.0,94604.0,93035.0,68093.0,69785.0,74251.0,69764.0,87102.0,67839.0,69248.0,65952.0,93874.0,84996.0,71551.0,69285.0,93610.0,99445.0,95056.0,68997.0,65452.0,93085.0,66463.0,92842.0,78742.0,97560.0,84604.0,109492.0,82283.77777777778,12350.93528422288,0.15010170434297285
4,82504.0,77090.0,69785.0,86143.0,83829.0,66668.0,86120.0,110945.0,82057.0,99330.0,106627.0,93934.0,95443.0,66327.0,67317.0,69039.0,67609.0,89693.0,66815.0,66800.0,65443.0,91361.0,89810.0,70727.0,74545.0,98499.0,101983.0,91268.0,66194.0,62936.0,92796.0,65595.0,93435.0,84262.0,99827.0,72439.0,110945.0,82088.75,13721.049857335991,0.16714896812700877
5,83186.0,75932.0,77578.0,88203.0,89358.0,64163.0,65889.0,115802.0,77446.0,111687.0,102436.0,92127.0,100935.0,64509.0,65143.0,61939.0,70392.0,87795.0,60447.0,63816.0,66718.0,99258.0,86902.0,71810.0,84099.0,101090.0,99370.0,83736.0,62694.0,66867.0,93242.0,65318.0,93262.0,85202.0,104378.0,78455.0,115802.0,82255.11111111111,15451.377527186834,0.18784702030631195
6,86485.0,75111.0,67887.0,90534.0,89313.0,64713.0,64702.0,119268.0,73043.0,117905.0,99285.0,90904.0,102809.0,64034.0,63983.0,63193.0,74275.0,91380.0,72184.0,63371.0,69537.0,104423.0,84000.0,76326.0,95967.0,103940.0,100829.0,76258.0,63267.0,82882.0,93163.0,64404.0,91802.0,84245.0,106307.0,66755.0,119268.0,83291.22222222222,16296.86561907451,0.19566126158641578
7,82110.0,74209.0,73604.0,92981.0,92704.0,67875.0,75184.0,112738.0,69557.0,121787.0,97891.0,88986.0,106907.0,62467.0,66812.0,71137.0,75560.0,93526.0,87116.0,64475.0,71512.0,98931.0,69235.0,83172.0,104399.0,105626.0,96011.0,72512.0,65263.0,78975.0,91158.0,67992.0,88934.0,81455.0,110154.0,62197.0,121787.0,84032.0,15825.12025757361,0.18832254685802563
8,77451.0,78003.0,72862.0,92346.0,91218.0,78543.0,92623.0,104899.0,66660.0,120867.0,94934.0,86622.0,106212.0,64157.0,66652.0,81574.0,78383.0,75035.0,93468.0,65850.0,80907.0,97226.0,68258.0,92029.0,110739.0,103714.0,89068.0,69411.0,71768.0,83947.0,88061.0,68406.0,85721.0,81887.0,108972.0,68062.0,120867.0,84903.75,14415.106396059733,0.1697817398649616
9,92246.0,84855.0,89830.0,100392.0,100595.0,96572.0,112608.0,95901.0,74348.0,114977.0,94210.0,85474.0,106189.0,75207.0,72883.0,78701.0,82151.0,74308.0,74783.0,76903.0,78118.0,79244.0,75703.0,104722.0,116403.0,100280.0,81518.0,73243.0,77262.0,91902.0,84778.0,76631.0,89541.0,88879.0,103353.0,74872.0,116403.0,88321.72222222222,12772.731335003207,0.1446159677781908
