Interval,Processor0,Processor1,Processor2,Processor3,Processor4,Processor5,Processor6,Processor7,Processor8,Processor9,Processor10,Processor11,Processor12,Processor13,Processor14,Processor15,Processor16,Processor17,Processor18,Processor19,Processor20,Processor21,Processor22,Processor23,Processor24,Processor25,Processor26,Processor27,Processor28,Processor29,Processor30,Processor31,Processor32,Processor33,Processor34,Processor35,Processor36,Processor37,Processor38,Processor39,Processor40,Processor41,Processor42,Processor43,Processor44,Processor45,Processor46,Processor47,Processor48,Processor49,Processor50,Processor51,Processor52,Processor53,Processor54,Processor55,Processor56,Processor57,Processor58,Processor59,Processor60,Processor61,Processor62,Processor63,Processor64,Processor65,Processor66,Processor67,Processor68,Processor69,Processor70,Processor71,Processor72,Processor73,Processor74,Processor75,Processor76,Processor77,Processor78,Processor79,Processor80,Processor81,Processor82,Processor83,Processor84,Processor85,Processor86,Processor87,Processor88,Processor89,Processor90,Processor91,Processor92,Processor93,Processor94,Processor95,Processor96,Processor97,Processor98,Processor99,Processor100,Processor101,Processor102,Processor103,Processor104,Processor105,Processor106,Processor107,Processor108,Processor109,Processor110,Processor111,Processor112,Processor113,Processor114,Processor115,Processor116,Processor117,Processor118,Processor119,Processor120,Processor121,Processor122,Processor123,Processor124,Processor125,Processor126,Processor127,Processor128,Processor129,Processor130,Processor131,Processor132,Processor133,Processor134,Processor135,Processor136,Processor137,Processor138,Processor139,Processor140,Processor141,Processor142,Processor143,Total,Max
0,0,0,0,0,148,166,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,136,110,136,0,0,166,148,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,120,0,108,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,120,0,72,0,0,0,118,0,108,0,0,0,0,118,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,248,0,0,0,0,0,0,0,0,0,116,0,0,0,2772,248
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,180,162,0,0,0,0,0,0,0,136,162,136,12,0,0,180,0,0,0,0,0,0,0,202,0,0,0,0,56,0,0,0,0,118,0,0,0,0,0,56,0,202,0,0,0,0,118,128,128,0,0,0,126,138,0,0,10,0,0,12,0,0,0,0,0,0,0,12,0,138,0,0,0,0,0,0,0,0,0,0,126,10,0,0,0,0,0,0,202,230,0,0,224,0,0,34,32,0,0,0,150,0,0,0,0,0,0,232,0,202,232,0,38,0,0,34,38,224,230,0,32,150,0,0,4844,232
2,28,0,0,0,0,0,0,0,0,0,0,0,0,120,28,0,0,150,0,0,0,0,0,0,152,0,152,150,182,0,0,120,0,0,0,182,0,0,0,0,0,0,180,0,0,0,170,0,0,158,0,0,0,0,0,0,0,40,0,0,0,180,0,170,0,0,0,158,0,0,40,0,0,0,86,0,22,0,0,0,0,0,0,0,0,148,0,22,0,0,0,0,0,0,0,0,0,86,122,122,0,0,0,0,0,0,0,148,0,0,82,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,248,0,0,248,0,0,0,0,0,0,0,0,0,0,82,0,0,3780,248
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,180,0,0,0,0,0,0,98,0,0,180,0,0,0,206,194,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,206,0,194,0,0,0,0,0,0,0,0,0,98,78,8,0,98,0,0,0,0,0,8,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,92,258,0,62,14,0,0,0,0,0,14,0,0,0,0,0,146,230,0,0,216,0,216,0,0,0,258,0,0,62,0,230,0,0,146,0,0,4120,258
4,34,160,0,0,78,0,0,0,0,0,0,0,0,0,34,0,0,174,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,174,160,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,28,202,92,0,0,0,0,0,0,0,0,28,202,0,126,0,0,68,56,0,126,0,68,0,0,0,0,178,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,174,0,178,56,256,72,0,0,0,0,0,0,0,0,0,0,0,0,0,134,202,0,66,0,0,0,202,0,0,0,256,0,0,0,0,134,0,72,0,66,4452,256
5,0,116,0,0,164,0,0,0,0,0,134,16,0,0,0,116,0,152,0,0,0,0,0,0,0,0,0,0,0,134,152,0,16,0,164,0,0,0,198,0,0,0,0,0,196,166,0,0,194,0,88,132,0,0,4,4,102,0,194,198,132,0,196,166,0,0,88,192,0,192,0,102,0,0,0,0,0,160,0,0,0,0,0,0,0,0,76,0,0,0,0,0,118,0,0,160,64,64,76,0,0,0,0,0,0,0,118,0,222,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,54,0,8,0,0,0,8,0,0,0,0,222,0,54,0,0,0,68,5248,222
6,0,0,0,8,0,0,128,0,0,0,0,0,0,0,0,0,60,112,0,0,168,184,0,0,0,112,168,0,0,184,128,60,8,0,0,0,0,0,0,0,202,0,0,188,0,0,0,0,0,122,0,0,168,86,0,0,0,0,0,0,122,202,0,188,0,0,0,168,0,0,0,86,0,0,0,0,0,136,6,0,198,0,88,8,0,0,114,0,0,0,0,88,0,8,0,0,6,114,136,0,0,198,0,0,0,0,0,0,0,0,0,0,60,14,0,0,78,0,124,0,0,0,78,124,0,0,0,0,14,0,0,0,0,0,0,44,60,0,0,0,0,0,44,0,4592,202
7,0,0,0,18,0,0,0,0,118,0,0,0,0,0,0,118,0,0,202,0,0,0,0,0,166,166,0,0,142,0,0,18,0,202,142,0,0,0,0,0,0,0,0,178,220,0,0,0,0,0,0,0,0,0,0,0,136,0,0,136,0,0,220,178,154,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,8,0,4,8,0,0,8,0,92,120,4,0,0,240,0,0,120,92,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3776,240
8,0,0,0,12,0,0,118,0,0,0,0,0,0,0,0,0,0,184,0,12,144,0,0,144,0,0,118,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,120,0,12,0,0,0,0,0,208,0,0,0,0,0,56,0,56,0,0,0,0,0,0,208,0,0,120,0,0,0,0,0,0,38,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,1996,208
9,0,0,0,0,0,164,0,0,88,44,0,0,0,0,0,0,0,0,196,88,0,0,0,0,0,0,0,0,0,164,44,66,196,0,0,66,0,0,0,110,202,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,164,0,202,0,0,0,178,0,164,0,0,0,0,0,0,0,26,0,0,0,0,24,0,0,0,88,78,24,0,0,0,0,0,0,0,0,0,0,0,0,78,26,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,166,0,166,110,0,64,74,68,0,0,0,0,0,68,0,0,0,110,0,0,64,0,0,74,0,3820,202
